delta36,action
40,1
g,1
1,0
3,3
1,1
1,1
d,0
1,1
1,0
1,3
9,1
1,1
3,0
1,3
1,3
1,1
u,3
18,0
4i,0
2,0
1,0
1,0
9,1
3,0
2,1
1,0
1,0
a,3
1,1
5b,1
1,1
d,1
2,1
1,1
1,1
c,2
1,2
2,1
1,1
1,0
c,3
1,1
2,1
1,1
c,1
2,1
g,1
1,1
4u,1
1,1
d,1
2,1
1,1
1,1
c,0
1,1
2,1
1,1
1,0
1,0
b,3
3,1
1,1
e,1
v,0
4y,1
d,1
2,3
1,1
1,0
c,1
1,1
2,1
1,1
e,1
v,0
1q9,1
1,1
1,1
1,1
2,1
b,1
1,3
1,1
1,3
1,3
1,0
c,1
1,3
1,3
1,3
1,0
d,0
1,3
1,3
9,0
1,0
1,3
1,3
2,3
1,0
1,3
9,0
1,0
1,0
1,3
1,3
2,3
d,3
1,3
1,3
2z,2
1,3
4,3
c,1
1,1
1,3
1,3
1,1
1,3
1,3
1,3
8,2
1,3
1,3
1,1
1,1
1,2
1,3
1,3
1,1
b,3
2,1
2,1
1,2
b,1
2,3
1,1
1,1
1,1
d,1
3,3
f,1
9,1
2,0
1,0
4,1
a,0
1,0
1,0
d,0
1,0
1,3
1,1
1,1
1,1
1,1
3g,3
1,1
4,3
b,1
1,1
1,1
2,1
1,1
1,1
b,1
1,1
1,2
1,3
1,1
1,0
b,1
1,3
2,1
1,1
e,0
h,1
1,1
b,0
5,1
1,1
a,0
i,1
1,1
1,1
1,1
3f,3
4,3
1,1
b,1
1,1
3,1
1,1
1,1
9,1
2,0
2,0
1,3
1,3
1,3
a,1
1,3
2,0
1,3
1,1
1,1
u,1
1,1
e,1
2,1
u,1
1,1
3x,1
1,1
2,1
1,1
9,1
1,0
2,1
1,0
2,0
1,0
1,1
8,0
2,0
4,1
1,0
1,0
a,1
1,1
3,1
1,1
9,1
3,1
3,3
4r,1
1,1
1,1
d,1
2,1
1,1
1,1
1,1
c,1
2,1
1,3
1,0
2,1
d,1
1,1
2,1
b,1
1,1
1,1
f,1
1,1
1,3
b,1
3,0
4e,1
1,1
1,1
1,3
c,1
2,1
1,1
1,1
1,1
1,1
b,3
2,1
1,3
1,0
1,1
b,0
3,1
1,1
b,0
2,1
1,1
h,1
s,1
41,1
2,1
1,1
d,3
1,3
1,3
1,1
1,1
e,3
1,3
1,0
d,1
2,1
1,1
b,0
1,0
1,1
1,1
1rn,1
1,1
1,1
b,3
2,0
1,1
1,1
1,0
c,3
2,1
1,1
1,1
c,3
1,1
1,1
1,1
1,1
c,3
1,1
1,1
2,1
9,0
2,3
1,1
1,1
1,1
1,1
3g,1
1,1
1,2
1,3
1,3
1,1
9,1
1,3
2,1
1,2
1,3
1,3
1,1
a,1
3,2
1,1
1,1
1,2
c,1
1,0
1,1
1,1
1,3
d,0
1,0
1,0
d,1
2,1
1,1
d,1
1,1
2,1
1,1
c,1
1,1
1,1
2,1
c,1
1,1
1,1
1,1
3g,3
f,1
g,3
1,1
3,1
f,1
5t,1
1,1
9,1
6,1
1,1
b,1
4,1
1,1
a,0
4,1
1,1
1,3
1,0
u,1
1,1
1a,1
3l,1
1,3
f,1
1,1
c,3
3,1
b,3
1,0
2,1
2,3
1,1
1,1
b,1
3,3
1,3
1,3
r,1
1,1
v,1
3k,1
1,1
1,1
b,1
2,1
1,1
1,1
1,1
2,1
b,3
1,1
1,1
1,1
b,3
2,1
2,1
1,3
2,3
c,1
2,3
2,3
c,1
1,3
3,1
4s,1
2,3
d,1
1,1
1,1
1,1
1,1
d,1
1,1
1,1
b,3
2,1
2,1
1,3
e,1
2,3
e,1
3,1
b,3
1,0
4g,1
1,1
1,1
e,1
1,1
1,1
1,1
d,3
1,1
e,0
3,1
1,3
e,1
h,3
d,3
1r8,0
f,3
2,1
1,1
1,1
d,1
2,3
1,3
d,1
1,3
2,3
d,1
1,3
1,3
3h,3
1,1
2,2
1,1
b,1
1,2
1,3
1,1
d,1
2,1
e,1
2,1
1,1
1d,1
4f,1
1,1
f,1
c,1
4,1
v,3
1,1
g,1
1,1
1,1
d,1
g,1
f,1
1,1
aq,1
b,3
5,1
f,1
r,1
5,1
1,0
1,0
58,1
1,1
f,3
1,3
2,3
c,1
1,1
e,1
2,1
c,3
1,3
4,1
f,1
3,3
1,3
18,1
3k,1
g,3
g,1
g,1
d,3
5,3
e,1
g,1
w,1
3j,1
1,1
f,1
1,3
g,1
f,3
1,1
d,3
4,0
1,3
e,1
1rw,0
n,1
1,1
e,1
2,3
e,1
1,3
3i,1
1,1
1,1
e,3
1,1
1,1
1,1
e,1
1,1
2h,2
3p,1
g,1
2,1
e,3
f,1
i,1
1,1
1,1
f,0
5c,1
f1,1
c,3
1,0
3,1
c,1
1,1
1,0
5,2
6y,3
1,1
74,1
1se,0
7,0
9,2
g,2
1,2
6,1
3e,1
1,3
4,1
1,1
1,1
8,2
2,2
1,1
3,3
1,1
1,1
9,3
2,3
2,1
2,1
1n,2
e,2
1,2
f,2
3q,1
c,1
5,1
1,1
19,1
e3,3
4,1
2il,1
1,3
6,1
8,2
1,2
1,2
4,1
2,1
a,1
4,1
6k,2
1f,1
x,3
a,3
1,3
2vl,3
1,1
f,3
1,1
1,1
1,1
1,1
1,1
c,1
1,1
1,1
1,1
1,1
28,0
3v,1
g,3
4,1
1b,1
ouk,0
1,3
1,1
1,3
1,3
1,3
1,3
a,0
1,1
1,1
1,3
1,0
2,0
1,0
a,1
1,3
1,0
1,0
1,0
1,0
1,0
b,0
1,3
1,0
1,0
1,0
1,0
9,0
1,1
3,3
1,0
1,0
1,0
9,0
1,1
1,0
3,3
1,0
1,0
9,0
1,1
1,0
e,0
1,1
1,0
1,0
3x,3
1,0
1,0
1,0
1,1
1,0
1,0
a,0
1,1
1,0
2,3
2,3
c,1
4,1
1,0
c,3
4,0
9,1
4,3
1,0
1,1
1,1
9,1
1,1
4,3
1,1
1,1
9,0
1,1
2,0
4,1
a,1
1,1
1,1
2,1
3v,3
1,1
1,3
3,1
1,0
a,1
1,0
1,1
3,1
1,1
a,0
1,0
1,0
1,3
1,0
1,0
1,3
1,0
c,3
3,0
1,0
d,3
1,1
1,1
1,1
9,1
5,3
1,1
1,1
9,0
6,0
a,0
40,3
1,1
4,1
1,1
1,1
9,3
1,0
4,1
1,1
1,1
9,1
1,1
1,3
3,1
b,0
1,0
1,0
2,3
1,0
1,1
1,0
1b,0
4a,0
g,0
1,0
4,1
1,1
1,1
9,1
2,0
3,1
1,1
a,0
1,0
2,3
d,0
1,1
1,0
3,3
1,0
1,0
55,1
1,1
1,1
1,1
e,0
1,1
1,1
1,1
c,1
2,0
1,1
3,1
a,0
1,0
1,1
1,0
1,1
c,1
1,0
3,3
2,1
a,0
1,0
1,0
w,1
3y,0
1,1
1,1
1,1
d,1
1,0
1,1
1,1
1,1
1,1
b,0
2,0
2,1
1,1
b,0
1,0
2,0
d,0
1,0
3,0
1,1
b,0
1,0
1,1
e,0
1,0
4w,0
2,1
1,1
c,1
1,1
1,0
2,1
c,0
1,1
1,1
f,0
3,1
c,0
1,0
1,1
1q5,3
1,3
2,1
1,1
1,1
1,1
1,3
1,0
8,1
2,3
j,3
1,3
1,3
f,3
1,3
9,1
1,1
1,1
1,1
1,3
3,3
9,1
1,1
1,1
1,0
f,3
1,1
1,3
3h,3
1,1
1,3
2,1
1,0
1,0
9,0
2,0
1,0
2,1
1,0
1,0
1,0
s,0
1,1
1,1
1,1
1,0
d,1
i,1
1,1
8,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
8,1
1,1
1,1
4,1
2,1
9,0
1,1
1,1
1,1
1,1
1,1
1,1
3e,3
1,3
1,3
3,3
1,0
9,0
2,3
1,3
1,0
1,3
1,1
1,1
a,1
2,1
1,1
2,0
1,0
1,1
o,1
5,0
3,0
8,1
1,1
5,1
1,1
1,1
8,0
1,1
4,1
2,1
1,1
8,0
1,1
f,0
1,0
3,1
1,1
1,1
1,1
3e,0
1,1
g,3
4,3
1,3
1,3
8,1
1,0
2,1
3,0
1,0
1,0
8,3
1,3
1,3
4,0
1,0
1,1
u,1
1,1
1,1
8,0
1,0
4,1
2,3
1,3
8,0
g,0
1,0
5,3
1,3
3e,1
1,0
e,0
2,1
1,3
3,0
1,0
9,1
1,0
5,0
1,0
1,0
8,1
1,0
5,1
1,1
c,1
3,1
1,1
t,1
4d,1
1,1
1,1
1,3
c,1
2,1
1,3
1,3
1,0
2,3
a,3
2,3
1,1
1,0
c,3
1,1
2,1
1,1
2,1
9,0
1,1
1,1
1,1
2,1
c,0
1,3
1,1
1,1
3,1
18,0
3i,1
1,1
1,1
1,3
c,1
2,1
1,3
1,3
1,1
1,3
a,3
1,0
2,1
1,0
1,0
b,0
1,0
3,1
1,1
1,1
b,1
1,1
1,1
j,1
a,0
3,0
2,1
4t,1
1,3
1,3
1,1
c,3
3,1
1,0
b,0
1,3
1,1
2,1
1,1
b,0
1,3
1,1
1,1
d,0
4,1
f,0
1q8,1
1,0
1,0
1,0
1,1
1,0
c,0
1,1
1,3
1,3
c,3
1,1
1,1
1,1
1,3
1,1
b,0
1,1
1,1
1,1
1,1
1,1
8,0
3,1
1,1
1,1
1,1
1,1
1,1
8,0
1,0
2,0
1,1
1,1
1,1
2,1
a,1
1,1
1,1
1,1
1,1
1,1
3e,3
1,3
1,3
1,3
1,2
2,3
a,1
1,3
1,3
1,3
1,2
1,1
1,1
1,3
b,1
1,2
1,1
2,1
b,3
1,1
1,3
1,1
1,1
1,3
1,1
d,3
1,1
1,1
1,1
d,1
1,3
1,3
1,3
8,0
3,3
1,1
1,3
2,1
1,1
8,0
3,1
1,3
1,3
1,1
2,1
a,1
1,1
1,1
1,3
1,1
1,1
3f,1
1,2
3,3
1,2
a,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
9,0
2,3
1,0
1,3
1,3
1,3
1,0
c,1
i,1
g,1
1,1
1,1
c,1
1,1
2,1
1,1
e,1
2,1
b,1
1,1
1,1
1,1
1,1
3f,3
4,3
1,2
b,1
1,1
3,3
1,1
1,3
8,0
1,0
2,0
2,0
1,0
1,0
1,0
a,3
1,1
3,1
1,1
1,3
e,1
1,1
f,1
1,1
1,1
d,1
2,3
1,3
t,1
1,3
1,3
3e,3
1,1
1,3
3,3
1,3
9,0
1,0
1,1
1,3
1,3
2,1
1,1
1,1
8,0
1,0
2,1
1,0
2,0
1,0
1,0
e,1
c,1
1,1
3,1
1,1
1,1
8,1
1,3
2,1
3,3
1,1
b,1
1,3
1,1
3,1
r,3
1,1
3i,2
1,1
1,2
1,2
1,3
b,2
2,1
1,3
1,3
1,1
2,3
9,0
1,1
2,3
1,1
1,0
2,0
a,0
1,0
2,3
1,1
2,1
b,1
1,3
1,1
1,1
2,1
9,0
2,1
1,3
1,1
1,3
2,1
1,1
8,3
j,3
g,1
3i,2
1,1
1,2
1,2
1,3
b,2
2,1
1,3
1,3
1,1
1,3
a,0
1,0
2,3
1,0
1,0
1,0
a,0
1,0
3,3
1,1
1,1
c,1
1,3
1,1
1,1
1,1
a,0
2,3
1,1
1,1
1,1
1,1
a,0
1,0
2,3
2,1
b,1
1,3
2,1
1,1
3x,3
1,1
1,2
1,2
d,1
2,3
1,3
1,1
b,0
1,0
2,3
1,0
1,0
d,3
1,1
1,3
1,1
d,1
1,3
1,1
e,1
1,3
1,1
1,1
b,0
1,0
2,1
d,0
1qc,1
1,0
1,1
1,1
1,0
b,3
2,1
1,3
1,3
d,1
2,3
1,3
1,3
c,3
1,3
2,1
1,1
c,3
1,3
1,1
2,1
b,3
1,3
1,3
1,1
1,1
3e,3
1,3
1,3
1,2
1,3
1,2
1,3
1,2
9,1
1,1
1,3
1,3
1,1
1,1
1,1
1,1
a,1
2,2
g,1
1,0
1,1
1,1
1,0
d,1
1,1
1,0
d,1
2,1
1,1
1,1
b,1
1,3
1,1
2,1
1,1
b,3
1,3
1,1
1,1
2,1
b,1
1,3
1,1
1,1
1,1
3e,2
1,3
1,3
1,2
2,2
1,2
1,2
a,3
1,1
1,3
1,3
1,3
1,3
b,3
1,3
1,3
2,3
1,1
1,3
c,1
1,3
1,1
1,3
1,3
d,3
i,3
g,3
1,3
e,3
2,3
b,1
2,3
1,3
1,3
3j,2
1,2
1,2
8,3
2,1
4,3
1,3
1,3
a,1
4,3
1,3
1,3
a,0
3,0
1,3
1,3
1,1
u,3
1,3
1,3
d,3
2,1
t,3
1,3
1,1
1,1
3e,2
1,3
1,3
3,3
1,3
b,3
1,1
3,3
1,3
1,3
a,0
4,1
1,1
9,0
1,0
1,0
2,0
2,0
1,0
1,0
b,3
3,3
1,3
1,3
8,3
1,3
5,1
1,1
c,3
1,3
3,3
9,0
g,0
3,1
1,3
2,3
1,3
3e,2
1,3
1,3
1,3
1,3
b,3
2,1
1,1
1,3
1,3
2,3
9,1
1,1
1,1
1,3
1,1
1,1
2,1
9,0
1,0
1,0
2,3
1,0
2,0
9,3
3,0
2,3
2,3
9,0
3,1
1,3
1,1
2,3
1,3
8,3
1,3
f,0
g,0
1,0
2,1
3i,2
1,3
1,3
1,2
1,3
1,3
a,3
2,1
1,1
1,3
1,3
1,3
a,1
1,1
1,0
1,3
1,1
1,1
1,1
a,0
1,0
1,0
2,1
1,0
1,0
a,3
3,0
2,3
1,3
a,0
3,3
1,3
1,1
1,3
a,0
1,0
1,0
1,1
2,3
b,3
1,3
3,1
c,0
3,1
3j,3
1,3
1,2
1,3
d,1
1,1
1,3
1,3
d,1
1,3
1,1
1,1
b,0
1,0
3,3
1,0
1,0
d,3
2,3
e,3
1,3
1,1
c,0
1,0
1r7,0
h,1
1,3
1,3
c,3
1,1
2,1
1,1
d,3
1,1
2,1
c,3
1,3
1,1
1,1
3h,1
1,3
1,2
1,2
1,2
b,1
2,1
1,3
1,3
1,1
b,1
3,1
1,3
1,3
b,1
1,1
1,1
1,0
1,0
v,1
1,3
d,1
1,1
2,1
1,1
d,3
1,1
2,1
c,1
1,3
1,1
1,1
3h,1
1,2
1,2
1,2
1,2
d,3
1,3
1,3
b,1
4,1
1,1
u,3
1,1
g,3
1,3
1,3
c,3
1,3
2,1
1,1
d,3
1,1
e,3
1,3
1,1
1,1
4c,1
3,3
1,3
f,3
g,1
1,1
1p,1
3i,2
4,3
1,3
1,3
a,3
4,1
1,1
1,1
e,3
1,1
1,1
e,3
1,3
1,3
8,0
1,0
1,0
4,0
1,1
1,0
f,1
g,1
4a,2
1,2
2,3
1,3
2,3
b,1
1,3
1,1
1,1
2,1
9,3
2,3
1,1
1,1
1,3
2,3
9,3
1,3
1,3
1,0
1,1
1,3
2,3
9,0
1,0
1,0
3,0
2,0
d,1
3,1
1,1
s,3
g,3
3h,2
3,3
1,3
b,1
3,3
1,1
1,1
b,3
2,3
1,1
1,1
1,3
1,3
a,3
1,3
1,3
1,0
1,1
1,3
1,3
a,0
1,0
1,1
3,0
1,0
e,0
2,1
e,3
w,3
3j,3
1,3
e,1
1,3
1,1
e,3
1,1
1,1
2,3
d,1
1,1
c,0
1,0
1,0
3,0
1,0
e,3
g,3
1rh,0
5,0
f,3
2,3
1,3
e,3
2,1
e,1
1,1
3i,3
1,2
1,3
1,2
c,3
1,3
1,3
1,3
1,3
b,1
3,1
1,1
1,1
e,1
1,1
f,3
1,3
1,3
8,0
6,0
f,1
2,1
1,1
d,1
1,1
2,1
d,1
1,1
1,1
3i,3
1,2
1,2
e,3
1,3
1,3
e,3
f,1
2,1
1,1
f,3
1,3
1,3
8,0
6,0
1,0
e,3
w,1
2,3
3j,3
1,3
f,1
1,1
f,3
1,1
f,3
1,3
80,1
4x,3
b,1
1,1
4,1
a,3
1,1
1,3
3,1
1,1
b,1
1,3
c,0
4,1
c,0
1,0
1,0
1,0
5,0
4t,1
1,3
f,3
1,1
d,1
1,3
2,1
e,3
2,3
a,0
4,1
2,1
a,0
1,0
1,1
4,0
5p,1
x,1
c,0
1,0
1,1
1sf,0
1,0
m,3
f,1
3e,2
1,2
1,3
3,3
1,3
1,3
8,1
1,3
2,3
1,3
1,3
1,3
1,3
1,3
8,3
1,3
2,3
1,3
1,1
2,1
1,1
f,1
1,1
c,1
1,3
2,3
1,3
f,1
1,1
8,0
7,0
f,0
g,1
3f,2
1,3
4,3
1,3
1,3
a,3
2,3
2,3
1,1
1,1
8,2
2,3
1,1
3,3
1,3
9,3
1,3
2,3
1,1
1,1
2,1
1,1
c,1
1,3
g,3
2,3
1,3
8,0
7,1
f,0
4a,2
3,3
t,3
1,3
2,1
d,3
1,3
4,1
66,1
h,3
c,0
4,1
d,2
cj,1
f,1
1,3
1,1
f,3
1,3
f,1
1,1
g,1
5b,1
h,1
1c,1
b,0
1,0
1,1
1t1,2
3e,2
1,2
2,3
4,3
8,2
2,1
1,3
1,3
2,3
1,1
1,3
8,3
2,3
1,3
1,1
1,1
1,1
2,1
e,1
2,1
d,3
1,3
2,3
d,1
1,1
2,1
e,0
2,3
8,0
1,0
m,2
3v,3
g,3
e,3
1,3
5,1
f,3
g,1
1,3
2,3
e,0
a,0
1,0
5b,3
g,3
6c,1
g,3
s,3
1,3
5u,1
2,1
f,3
x,0
2b1,3
1,3
f,1
1,1
1,3
1,3
1,3
1,3
c,1
1,1
1,1
1,1
1,1
d,1
1,1
1,1
1,1
d,1
1,3
1,3
1,3
e,1
1,1
1,1
f,1
1,1
g,0
3u,2
1,3
1,3
f,1
1,1
1,3
2,1
c,1
5,3
c,1
1,1
1,1
1,1
1,1
d,1
1,3
g,1
1,3
1,3
f,1
dm,3
5g,1
h,1
1c,1
l2j,1
1,1
1,1
1,1
1,3
1,3
1,1
1,1
r,1
2,0
1,3
1,1
1,1
c,3
1,3
3,3
19,3
2,1
c,2
h,3
1,3
1,3
3f,2
1,1
1,1
1,1
2,3
1,1
1,1
u,3
3,0
c,1
4,1
g,1
u,1
u,1
3g,1
1,1
1,1
u,3
1,1
1,3
1,1
1,1
3,1
d,1
k,0
e,0
b,3
1,2
g,2
5,0
9,1
1,0
3j,2
1,1
1,1
u,1
1,1
2,1
4,0
9,1
1,1
1,1
1,1
e,0
4,0
h,1
16,1
1,0
1,0
3i,2
1,3
1,1
u,1
1,1
5,0
u,0
58,2
1,1
1,1
1,1
u,1
2,1
1,1
e,1
h,1
u,0
1,1
4f,1
1,1
1,1
t,0
1,1
2,1
1,1
27,3
4v,3
g,1
1qn,0
1,0
1,0
2,0
1,0
1,0
b,1
1,3
1,3
1,3
1,2
1,3
9,3
1,2
1,1
1,2
1,0
1,2
1,2
1,2
1,0
8,3
3,1
1,2
1,0
1,0
1,0
1,0
8,2
4,1
1,0
1,0
1,0
1,0
8,2
3,0
2,1
1,0
1,0
1,0
8,2
1,2
1,2
1,0
1,0
2,1
1,0
1,0
8,3
1,0
1,0
1,0
1,0
2,0
d,0
1,0
1,0
1,0
3f,2
1,2
1,2
2,0
1,0
1,0
1,2
8,3
1,3
1,3
1,3
1,0
1,3
1,0
1,3
1,0
9,0
1,1
1,1
1,1
1,1
1,1
1,1
1,0
b,1
1,2
1,2
1,0
1,0
1,0
8,2
4,1
1,0
1,0
1,0
1,0
8,2
5,2
1,0
1,0
1,0
8,2
1,0
1,0
1,0
1,0
2,1
1,0
1,0
8,2
1,0
1,0
1,0
1,0
4,0
8,2
1,0
1,0
1,0
1,0
1,0
1,0
3f,2
1,2
2,2
2,0
1,0
1,0
8,3
1,3
1,3
1,3
1,0
2,0
1,0
1,0
8,3
1,0
1,1
1,0
1,0
2,0
1,0
1,0
9,0
1,0
2,1
2,0
1,1
1,0
8,2
4,1
1,0
1,0
1,0
1,0
8,2
5,1
1,0
2,0
8,3
1,0
1,0
3,0
1,1
1,0
9,2
1,0
1,0
5,0
9,0
1,0
1,0
3,0
3g,2
2,2
3,2
1,2
a,3
1,3
1,0
3,3
1,3
1,3
8,0
1,0
2,0
3,0
1,0
1,0
9,0
1,0
1,1
2,0
1,0
1,0
1,0
9,0
1,0
3,1
1,0
1,0
1,0
9,0
5,0
1,0
1,0
8,0
1,0
1,0
3,0
c,0
f,0
1,0
1,0
1,0
2,0
3g,0
1,0
1,2
1,2
c,3
2,3
2,0
2,3
1,3
1,3
9,0
2,0
1,0
2,0
1,0
1,0
9,0
1,0
2,0
2,0
1,0
1,0
8,0
1,0
1,0
1,0
1,1
3,0
a,1
1,0
4,1
1,0
1,0
14,0
1,0
1,0
1,0
3i,0
1,0
1,0
1,2
1,0
b,2
2,3
1,3
1,3
1,3
b,3
1,0
1,0
1,0
1,0
1,0
b,3
1,0
1,0
1,0
1,0
1,0
b,3
1,0
1,0
1,0
1,0
c,0
1,0
1,0
1,0
1,0
1,1
c,0
1,0
e,0
1,0
1,0
1,0
e,0
1,0
1,0
1,0
3h,0
1,0
1,0
1,2
1,0
b,2
2,3
1,0
1,3
1,3
1,3
a,3
1,0
1,0
1,0
1,0
1,0
b,0
1,0
1,0
2,0
1,0
b,3
1,0
1,0
1,0
1,0
1,0
b,0
1,0
1,0
1,0
2,0
b,0
1,0
1,0
1,0
1,0
e,0
1,0
f,0
1,0
1,0
3j,0
1,0
e,3
2,3
1,3
c,0
1,0
1,0
1,0
1,0
b,3
1,0
1,0
2,0
1,0
c,0
1,0
1,0
2,0
c,0
1,0
1,0
e,0
1,0
1,0
e,0
1,0
1pr,3
1,3
1,1
1,1
1,1
1,1
1,3
9,0
1,3
1,3
1,3
2,1
1,3
1,3
a,3
2,3
1,1
1,3
1,3
1,3
a,2
1,2
2,3
2,3
1,3
1,3
8,0
1,0
1,2
1,3
1,3
1,3
1,0
1,3
1,3
8,0
1,2
1,2
2,3
1,3
1,3
2,3
9,3
1,3
1,3
1,3
1,3
1,3
1,3
1,0
3d,1
1,1
1,1
1,1
1,1
1,3
1,1
1,1
d,1
e,3
1,1
1,1
d,1
2,3
1,1
1,1
1,1
1,3
9,2
2,0
2,1
1,1
1,1
a,2
1,0
2,0
2,1
1,1
1,1
8,2
1,2
1,2
1,0
1,1
1,1
1,3
1,1
1,1
9,2
1,2
1,0
1,1
1,1
1,1
1,1
1,1
a,1
1,1
1,1
1,1
1,1
1,1
3e,3
1,1
1,1
1,1
2,1
1,1
b,1
1,1
2,1
1,1
1,1
1,1
8,0
1,3
1,3
1,1
1,1
1,1
1,3
1,3
1,0
c,3
c,0
1,2
f,0
1,2
5,1
1,1
1,1
9,2
1,0
2,1
1,1
2,1
1,1
9,2
5,1
2,1
b,1
1,1
1,1
1,1
1,1
3f,1
4,1
1,1
b,1
4,3
1,3
1,3
8,1
3,0
3,0
1,0
a,3
1,3
1,3
5,1
d,3
d,0
4,1
1,1
1,1
d,1
2,1
1,1
t,1
1,1
1,1
3e,1
2,1
3,1
1,1
b,3
1,1
d,1
3,1
1,0
2,0
1,0
9,0
2,0
4,1
1,0
1,0
a,1
1,1
1,3
2,1
1,1
1,1
q,1
1,1
1,1
3,1
r,1
1,1
3i,3
1,1
1,1
1,1
1,1
b,1
2,1
1,1
1,1
3,1
a,1
2,1
1,1
1,0
c,0
1,1
2,1
1,1
2,1
a,3
1,1
1,1
2,1
2,1
b,1
1,1
1,1
1,3
2,1
r,0
g,0
3j,3
1,1
1,1
1,1
1,1
b,1
2,1
1,1
1,1
1,3
1,1
b,0
2,1
1,1
g,1
1,1
1,1
b,3
1,1
1,1
3,1
c,1
1,1
1,1
2,1
c,0
3,1
e,1
f,0
3l,1
1,1
1,1
d,3
1,1
1,1
1,3
c,3
1,1
1,1
1,1
d,3
1,1
1,3
1,1
1,1
c,3
1,1
1,1
1,3
e,1
1,1
1,1
e,0
1q8,1
1,0
1,0
1,0
1,0
1,0
1,0
a,3
1,2
1,0
1,2
1,2
1,0
1,0
8,2
3,0
1,1
1,0
1,2
1,2
1,0
8,0
2,2
1,2
1,2
1,1
1,0
1,0
1,0
8,0
2,3
1,2
1,0
1,0
1,1
1,2
1,2
8,0
2,2
2,2
1,0
1,2
1,1
1,2
8,2
2,3
1,2
1,2
1,0
1,2
1,2
3e,2
1,3
1,2
1,2
1,2
1,2
1,2
1,2
9,1
2,3
1,3
1,3
1,0
1,3
1,0
b,1
1,2
1,1
1,1
1,1
1,1
a,3
1,2
1,0
1,0
1,0
1,2
1,0
c,1
1,0
1,2
1,2
1,0
a,2
1,0
1,0
2,2
1,2
1,2
8,0
2,2
1,2
1,2
1,2
1,1
1,2
1,2
8,0
1,0
1,2
1,0
1,0
1,2
1,2
2,2
8,0
2,3
1,2
1,2
1,2
1,2
1,2
3d,0
1,2
1,3
1,2
1,2
1,2
1,2
1,2
1,2
8,0
1,1
1,0
1,3
1,3
1,2
1,0
1,0
1,0
a,1
1,0
1,0
1,2
1,2
1,2
1,2
8,0
3,1
1,1
1,1
1,1
1,2
1,1
c,1
1,2
1,2
1,2
1,2
8,0
2,0
1,2
3,2
1,2
1,2
8,0
2,3
1,2
1,2
1,2
1,1
1,2
1,2
8,0
3,2
1,2
1,2
1,2
2,2
8,0
1,0
1,3
1,2
1,2
1,2
1,2
1,2
3f,3
4,2
1,2
9,3
2,0
1,3
2,3
1,3
1,3
1,3
8,0
2,3
1,0
2,0
1,0
1,0
1,0
8,0
1,0
1,3
1,1
2,0
1,0
1,0
1,0
d,1
1,1
1,1
d,0
2,0
1,0
1,0
8,0
1,0
4,0
2,0
1,0
8,0
1,0
4,0
1,0
a,0
1,0
1,0
1,0
2,0
1,0
1,0
3f,3
1,0
3,0
b,3
1,0
1,3
1,3
2,3
1,3
1,3
9,0
2,0
1,0
2,0
1,0
a,0
1,0
2,0
2,0
1,0
1,0
8,0
2,3
1,0
1,1
2,0
1,0
1,0
9,0
5,1
1,1
1,1
8,0
1,0
1,0
1,0
1,0
3,0
a,0
1,3
1,0
d,0
1,0
1,3
1,0
1,0
3h,2
1,3
1,0
1,0
1,0
b,3
2,3
1,3
1,3
1,3
2,3
a,0
1,3
1,0
1,0
1,0
b,0
1,0
1,0
1,1
1,0
1,0
2,0
9,0
2,0
1,0
1,1
1,0
2,0
9,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
8,0
1,0
2,0
e,0
1,0
1,0
d,0
1,0
1,0
1,0
1,0
1,0
3g,2
1,3
1,0
1,0
1,0
b,0
1,3
1,3
1,3
1,3
1,3
1,3
a,0
1,0
1,3
1,0
1,0
1,0
1,0
a,0
1,0
1,0
1,1
1,0
1,0
1,0
a,0
1,0
1,0
1,0
1,1
1,0
1,0
a,0
1,0
1,3
1,0
1,0
1,1
1,0
a,0
1,0
1,0
1,0
1,0
1,0
b,0
1,0
2,1
1,1
d,0
1,0
1,0
1,0
3h,2
1,3
1,0
1,0
c,3
1,1
1,3
1,3
1,3
1,3
d,1
1,0
1,0
1,0
c,0
1,0
1,1
1,0
1,0
b,0
1,0
1,3
1,0
1,1
1,0
1,0
a,0
1,0
1,0
1,0
1,0
1,1
b,0
1,0
1,0
1,0
d,0
1,0
2,0
1q8,1
1,0
1,0
1,0
1,0
1,0
8,2
3,3
1,1
1,2
1,0
1,2
1,2
b,3
1,0
1,1
1,0
1,0
1,0
8,2
3,3
1,0
1,0
1,1
1,0
1,0
8,2
1,2
2,3
1,0
1,0
1,0
2,0
8,2
2,2
1,3
1,0
1,0
1,0
1,0
3g,3
1,2
1,2
1,2
1,2
1,2
9,1
1,3
1,3
1,3
1,2
1,2
1,2
1,2
a,1
2,1
1,2
1,1
1,1
1,2
c,2
1,0
1,2
1,2
1,0
b,3
2,2
1,2
1,2
1,2
8,0
3,0
1,2
2,2
1,2
1,2
8,0
3,3
1,2
1,2
1,1
1,2
1,2
8,0
3,0
1,2
1,2
1,2
2,2
8,0
3,3
1,2
1,2
1,2
1,2
3g,3
3,0
1,0
1,0
a,3
1,0
1,0
1,0
1,0
1,0
1,3
8,0
1,0
1,1
1,3
1,0
1,0
1,0
1,2
1,0
a,0
2,1
1,1
