max_exponent,state
8,"[4, 4, 8, 8, 128]"
8,"[4, 4, 16, 128]"
8,"[2, 4, 4, 16, 128]"
8,"[2, 8, 16, 128]"
8,"[2, 2, 8, 16, 128]"
8,"[4, 4, 4, 16, 128]"
8,"[4, 8, 16, 128]"
8,"[2, 4, 8, 16, 128]"
8,"[2, 2, 4, 8, 16, 128]"
8,"[4, 4, 8, 16, 128]"
8,"[2, 4, 4, 8, 16, 128]"
8,"[2, 8, 8, 16, 128]"
8,"[2, 2, 8, 8, 16, 128]"
8,"[2, 2, 16, 16, 128]"
8,"[4, 4, 4, 8, 16, 128]"
8,"[4, 8, 8, 16, 128]"
8,"[2, 4, 8, 8, 16, 128]"
8,"[2, 4, 16, 16, 128]"
8,"[2, 4, 32, 128]"
8,"[2, 2, 4, 16, 16, 128]"
8,"[2, 2, 4, 32, 128]"
8,"[4, 4, 8, 8, 16, 128]"
8,"[4, 4, 16, 16, 128]"
8,"[4, 4, 32, 128]"
8,"[2, 4, 4, 16, 16, 128]"
8,"[2, 4, 4, 32, 128]"
8,"[2, 8, 16, 16, 128]"
8,"[2, 8, 32, 128]"
8,"[2, 2, 8, 32, 128]"
8,"[4, 4, 4, 32, 128]"
8,"[4, 8, 16, 16, 128]"
8,"[4, 8, 32, 128]"
8,"[2, 4, 8, 32, 128]"
8,"[2, 2, 4, 8, 32, 128]"
8,"[4, 4, 8, 32, 128]"
8,"[2, 4, 4, 8, 32, 128]"
8,"[2, 8, 8, 32, 128]"
8,"[2, 2, 8, 8, 32, 128]"
8,"[2, 2, 16, 32, 128]"
8,"[4, 4, 4, 8, 32, 128]"
8,"[4, 8, 8, 32, 128]"
8,"[2, 4, 8, 8, 32, 128]"
8,"[2, 4, 16, 32, 128]"
8,"[2, 2, 4, 16, 32, 128]"
8,"[4, 4, 8, 8, 32, 128]"
8,"[4, 4, 16, 32, 128]"
8,"[2, 4, 4, 16, 32, 128]"
8,"[2, 8, 16, 32, 128]"
8,"[2, 2, 8, 16, 32, 128]"
8,"[4, 4, 4, 16, 32, 128]"
8,"[4, 8, 16, 32, 128]"
8,"[2, 4, 8, 16, 32, 128]"
8,"[2, 2, 4, 8, 16, 32, 128]"
8,"[4, 4, 8, 16, 32, 128]"
8,"[2, 4, 4, 8, 16, 32, 128]"
8,"[2, 8, 8, 16, 32, 128]"
8,"[2, 2, 8, 8, 16, 32, 128]"
8,"[2, 2, 16, 16, 32, 128]"
8,"[4, 4, 4, 8, 16, 32, 128]"
8,"[4, 8, 8, 16, 32, 128]"
8,"[2, 4, 8, 8, 16, 32, 128]"
8,"[2, 4, 16, 16, 32, 128]"
8,"[2, 4, 32, 32, 128]"
8,"[2, 2, 4, 16, 16, 32, 128]"
8,"[2, 2, 4, 32, 32, 128]"
8,"[2, 2, 4, 64, 128]"
8,"[4, 4, 8, 8, 16, 32, 128]"
8,"[4, 4, 16, 16, 32, 128]"
8,"[4, 4, 32, 32, 128]"
8,"[2, 4, 4, 16, 16, 32, 128]"
8,"[2, 4, 4, 32, 32, 128]"
8,"[2, 4, 4, 64, 128]"
8,"[2, 8, 16, 16, 32, 128]"
8,"[2, 8, 32, 32, 128]"
8,"[2, 8, 64, 128]"
8,"[2, 2, 8, 32, 32, 128]"
8,"[2, 2, 8, 64, 128]"
8,"[4, 4, 4, 32, 32, 128]"
8,"[4, 4, 4, 64, 128]"
8,"[4, 8, 16, 16, 32, 128]"
8,"[4, 8, 32, 32, 128]"
8,"[4, 8, 64, 128]"
8,"[2, 4, 8, 32, 32, 128]"
8,"[2, 4, 8, 64, 128]"
8,"[2, 2, 4, 8, 64, 128]"
8,"[4, 4, 8, 32, 32, 128]"
8,"[4, 4, 8, 64, 128]"
8,"[2, 4, 4, 8, 64, 128]"
8,"[2, 8, 8, 64, 128]"
8,"[2, 2, 8, 8, 64, 128]"
8,"[2, 2, 16, 64, 128]"
8,"[4, 4, 4, 8, 64, 128]"
8,"[4, 8, 8, 64, 128]"
8,"[2, 4, 8, 8, 64, 128]"
8,"[2, 4, 16, 64, 128]"
