board_size,max_exponent,layer_sum,max_value,num_states
3,10,786,8,5414
3,10,946,9,40657
3,10,548,7,12
3,10,96,4,27
3,10,860,8,1355
3,10,878,8,488
3,10,512,7,58
3,10,648,9,31753
3,10,526,7,104
3,10,1214,9,15109
3,10,294,6,71
3,10,670,9,52128
3,10,892,9,39860
3,10,190,6,23029
3,10,18,3,302
3,10,346,8,34686
3,10,1406,9,315
3,10,924,8,244
3,10,394,7,7837
3,10,560,7,3
3,10,562,7,2
3,10,308,6,11
3,10,496,7,522
3,10,42,3,736
3,10,372,7,16743
3,10,1126,9,21383
3,10,812,9,53970
3,10,314,7,34364
3,10,748,9,46694
3,10,398,7,10735
3,10,452,8,35984
3,10,848,9,57237
3,10,838,8,748
3,10,366,8,42781
3,10,1222,9,6236
3,10,966,9,16197
3,10,984,9,40108
3,10,956,9,39056
3,10,1138,9,20047
3,10,1250,9,5144
3,10,842,9,39158
3,10,76,4,1903
3,10,1154,9,6304
3,10,112,5,11375
3,10,1330,9,13882
3,10,928,9,49429
3,10,332,7,25290
3,10,230,7,37516
3,10,354,8,39398
3,10,430,7,8255
3,10,886,8,196
3,10,292,7,31746
3,10,998,9,16512
3,10,238,7,42742
3,10,160,7,8526
3,10,1432,9,8456
3,10,258,6,1912
3,10,822,8,4085
3,10,1302,9,10165
3,10,802,9,44189
3,10,568,8,38970
3,10,1084,9,33907
3,10,250,6,4269
3,10,56,4,6193
3,10,1242,9,12869
3,10,20,3,504
3,10,956,8,35
3,10,518,8,15930
3,10,780,9,29942
3,10,290,6,134
3,10,582,9,25634
3,10,216,7,34216
3,10,68,5,10597
3,10,658,8,18033
3,10,964,8,8
3,10,1364,9,10149
3,10,866,8,561
3,10,78,5,14122
3,10,502,7,228
3,10,516,7,29
3,10,842,8,901
3,10,278,6,632
3,10,454,8,38676
3,10,992,9,23225
3,10,50,3,137
3,10,1524,9,136
3,10,104,5,13331
3,10,384,7,10842
3,10,418,7,7167
3,10,492,7,737
3,10,666,9,45573
3,10,582,8,21625
3,10,234,6,6354
3,10,280,6,567
3,10,476,8,52949
3,10,88,6,4173
3,10,46,5,869
3,10,630,9,41323
3,10,510,8,39895
3,10,820,9,53962
3,10,962,9,13531
3,10,550,7,6
3,10,78,4,1535
3,10,432,7,7642
3,10,1402,9,2689
3,10,124,6,23500
3,10,50,4,6113
3,10,486,7,763
3,10,808,9,48154
3,10,928,8,215
3,10,138,5,3092
3,10,768,9,23459
3,10,1054,9,38029
3,10,716,8,10365
3,10,1078,9,35650
3,10,654,9,40179
3,10,148,5,1256
3,10,94,4,49
3,10,484,8,36238
3,10,530,9,1505
3,10,32,4,1381
3,10,214,7,32905
3,10,1152,9,10834
3,10,844,8,1155
3,10,154,7,4994
3,10,764,9,37118
3,10,226,6,7565
3,10,546,9,9323
3,10,650,9,29716
3,10,960,8,16
3,10,1448,9,5497
3,10,548,9,10436
3,10,212,6,11745
3,10,760,8,3687
3,10,462,8,50950
3,10,834,8,1161
3,10,578,8,23234
3,10,438,8,54129
3,10,564,8,36883
3,10,470,8,48884
3,10,78,6,788
3,10,884,9,40134
3,10,38,3,1179
3,10,1192,9,21281
3,10,320,7,30291
3,10,906,8,48
3,10,530,8,31105
3,10,814,8,6157
3,10,286,6,271
3,10,208,6,14599
3,10,930,9,39924
3,10,1412,9,684
3,10,566,8,38896
3,10,898,9,13708
3,10,198,6,16140
3,10,40,5,124
3,10,554,9,13426
3,10,176,7,17220
3,10,982,9,39183
3,10,1212,9,17588
3,10,1348,9,6305
3,10,814,9,60988
3,10,408,7,11265
3,10,1202,9,19709
3,10,694,8,16937
3,10,806,9,44545
3,10,412,8,48001
3,10,58,4,5894
3,10,492,8,46529
3,10,692,8,15845
3,10,1404,9,3245
3,10,164,7,10547
3,10,320,8,26475
3,10,1104,9,31301
3,10,268,7,33999
3,10,864,8,905
3,10,866,9,45055
3,10,144,7,1146
3,10,1324,9,15068
3,10,556,9,14727
3,10,1280,9,991
3,10,690,8,17235
3,10,1334,9,13810
3,10,972,8,5
3,10,702,9,57446
3,10,160,6,30360
3,10,736,9,50907
3,10,1224,9,7489
3,10,512,8,23461
3,10,278,8,3113
3,10,656,8,17747
3,10,772,8,694
3,10,482,8,41029
3,10,298,6,64
3,10,394,8,29688
3,10,1468,9,2848
3,10,206,6,15999
3,10,352,7,25077
3,10,296,7,33449
3,10,628,9,39679
3,10,294,8,11499
3,10,980,8,2
3,10,856,9,62779
3,10,610,8,24303
3,10,82,6,1810
3,10,1124,9,21386
3,10,712,9,38362
3,10,1456,9,4985
3,10,1430,9,7293
3,10,770,8,388
3,10,374,8,41395
3,10,1156,9,7761
3,10,296,6,72
3,10,314,8,22953
3,10,132,6,26021
3,10,1464,9,3203
3,10,1262,9,8198
3,10,858,8,1345
3,10,570,9,22961
3,10,458,8,37339
3,10,34,4,1933
3,10,692,9,50476
3,10,444,8,53602
3,10,508,7,157
3,10,158,5,405
3,10,1034,9,4680
3,10,588,9,25679
3,10,52,5,2626
3,10,122,5,7272
3,10,296,8,12555
3,10,920,9,51029
3,10,516,8,19421
3,10,902,9,16426
3,10,580,8,21709
3,10,196,7,26023
3,10,248,7,42351
3,10,776,9,19350
3,10,464,7,3052
3,10,806,8,5266
3,10,364,8,38248
3,10,840,9,38781
3,10,188,6,22166
3,10,1310,9,15660
3,10,1024,9,3116
3,10,1300,9,8518
3,10,498,7,322
3,10,62,5,7486
3,10,1486,9,1327
3,10,700,8,14792
3,10,384,8,43309
3,10,122,6,22982
3,10,804,8,5587
3,10,1146,9,17365
3,10,1266,9,3723
3,10,606,8,37968
3,10,1296,9,5603
3,10,202,6,13870
3,10,600,9,34223
3,10,1484,9,1073
3,10,1426,9,5245
3,10,398,8,40213
3,10,750,8,8135
3,10,98,6,9516
3,10,376,7,18319
3,10,62,4,5182
3,10,652,9,34658
3,10,988,9,37109
3,10,952,9,43541
3,10,858,9,61750
3,10,1342,9,12970
3,10,80,4,1242
3,10,1220,9,7705
3,10,288,8,8453
3,10,674,8,18722
3,10,934,8,93
3,10,400,8,38460
3,10,386,8,36589
3,10,634,9,41629
3,10,1512,9,287
3,10,730,8,11886
3,10,312,8,22023
3,10,594,9,30831
3,10,1066,9,34009
3,10,824,8,3981
3,10,926,8,246
3,10,1510,9,302
3,10,676,9,43379
3,10,642,9,36589
3,10,778,8,1261
3,10,474,8,52376
3,10,4,1,8
3,10,182,6,22694
3,10,972,9,33657
3,10,940,9,48843
3,10,608,8,31750
3,10,1506,9,136
3,10,82,5,15381
3,10,694,9,54189
3,10,146,5,1552
3,10,348,7,26773
3,10,436,8,50442
3,10,584,8,22651
3,10,274,8,1638
3,10,618,8,24387
3,10,312,7,36517
3,10,142,5,2614
3,10,426,7,6867
3,10,766,9,39897
3,10,134,5,4158
3,10,228,6,7007
3,10,518,7,19
3,10,938,8,74
3,10,262,6,1271
3,10,416,7,9217
3,10,664,9,44826
3,10,1520,9,78
3,10,1036,9,7990
3,10,484,7,1010
3,10,1306,9,13484
3,10,40,4,3946
3,10,952,8,43
3,10,382,8,44522
3,10,358,8,37545
3,10,542,9,7107
3,10,1496,9,941
3,10,1258,9,7069
3,10,252,7,41807
3,10,448,8,51260
3,10,1200,9,24578
3,10,1424,9,4527
3,10,1244,9,13158
3,10,1504,9,269
3,10,10,2,69
3,10,1264,9,5874
3,10,256,7,43280
3,10,1044,9,24224
3,10,322,7,23523
3,10,870,8,440
3,10,772,9,19417
3,10,938,9,41928
3,10,490,8,39929
3,10,30,2,5
3,10,214,6,11819
3,10,784,9,35456
3,10,1252,9,6590
3,10,1068,9,37080
3,10,258,7,36592
3,10,1006,9,27240
3,10,560,9,17196
3,10,534,7,89
3,10,1370,9,11615
3,10,584,9,26111
3,10,722,9,44954
3,10,326,8,25635
3,10,172,6,24366
3,10,452,7,1545
3,10,738,9,41085
3,10,90,5,15684
3,10,544,9,8369
3,10,1518,9,4
3,10,524,7,80
3,10,1358,9,10762
3,10,1320,9,12965
3,10,266,6,1040
3,10,202,7,26399
3,10,270,8,584
3,10,324,8,26023
3,10,586,8,23600
3,10,892,8,148
3,10,1160,9,7455
3,10,638,9,44485
3,10,756,8,5105
3,10,902,8,19
3,10,562,8,37636
3,10,1328,9,16267
3,10,636,8,18033
3,10,586,9,26388
3,10,464,8,49213
3,10,86,5,15413
3,10,560,8,42873
3,10,948,9,38880
3,10,790,9,42666
3,10,1368,9,12564
3,10,974,8,2
3,10,804,9,43592
3,10,976,8,2
3,10,686,9,55588
3,10,1314,9,13560
3,10,224,6,9734
3,10,216,6,12188
3,10,146,6,27594
3,10,626,9,41293
3,10,1446,9,4491
3,10,254,6,3778
3,10,1318,9,12664
3,10,1088,9,28861
3,10,1354,9,7066
3,10,44,4,5114
3,10,890,9,39007
3,10,184,7,22054
3,10,1312,9,15625
3,10,508,8,37084
3,10,666,8,23205
3,10,912,9,41011
3,10,194,7,26813
3,10,124,5,7009
3,10,606,9,39740
3,10,638,8,15807
3,10,272,6,1074
3,10,618,9,37665
3,10,644,8,7891
3,10,368,7,22097
3,10,54,3,28
3,10,996,9,19350
3,10,424,8,46163
3,10,754,9,39548
3,10,958,9,39232
3,10,308,7,33322
3,10,180,7,19540
3,10,104,6,12636
3,10,624,8,26092
3,10,152,7,4072
3,10,1408,9,974
3,10,1122,9,22512
3,10,390,7,6354
3,10,1360,9,11712
3,10,1298,9,7077
3,10,494,8,50988
3,10,1398,9,4451
3,10,546,7,17
3,10,1380,9,6099
3,10,522,7,48
